base_question,folded_questions,query
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> and <ARG-CONDITION><3>.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> and <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM ((((<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) ON con1.person_id=con2.person_id) JOIN (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) ON con2.person_id=con3.person_id) JOIN (<SCHEMA>.condition_occurrence con4 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><3> ON con4.condition_concept_id=concept_id) ON con3.person_id=con4.person_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-one of/one of the following/one of these> <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>?",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-one of/one of the following/one of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>?",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>?",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-one of/one of the following/one of these> <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-one of/one of the following/one of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2>, <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-one of/one of the following/one of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-one of/one of the following/one of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-one of/one of the following/one of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> or <ARG-CONDITION><3>.",SELECT COUNT( DISTINCT con1.person_id) FROM (<SCHEMA>.condition_occurrence con1 JOIN (((<CONDITION-TEMPLATE><ARG-CONDITION><0> UNION <CONDITION-TEMPLATE><ARG-CONDITION><1>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><2>) UNION <CONDITION-TEMPLATE><ARG-CONDITION><3>) ON con1.condition_concept_id=concept_id);
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-all of the following/all of these> <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days?","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days?","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <SYN-ARG-all of the following/all of these> <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.",<SYN-ARG-number/count/counts> of <ARG-CONDITION><0> <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.,"SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/tell me> <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> at the same time <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>, <ARG-CONDITION><1> and <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients with condition <ARG-CONDITION><0>, <ARG-CONDITION><1>, and <ARG-CONDITION><2> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <SYN-ARG-all of the following/all of these> <ARG-CONDITION><0>, <ARG-CONDITION><1>, <ARG-CONDITION><2> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM (((SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con2 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><1> ON con2.condition_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(condition_start_date) AS min_start_date FROM (<SCHEMA>.condition_occurrence con3 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><2> ON con3.condition_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date)) < <ARG-TIMEDAYS><0>;"
